/board/view/?id=smartphone&no=4401141&page=2&search_pos=-4350000&s_type=search_all&s_keyword=s7,2016-02-22 0:24,갤럭시s7  스냅820버전 미국판 살까?,국내판은 엑시라며?,78,2017-04-03 22:35:15.936000
/board/view/?id=smartphone&no=4401136&page=2&search_pos=-4350000&s_type=search_all&s_keyword=s7,2016-02-22 0:21,유럽쪽 S7은 예약구매하면 VR 준다는것같던데 미국은 어떨라나...,나도 VR 써보고 싶다 삼성아,89,2017-04-03 22:35:16.731000
/board/view/?id=smartphone&no=4401109&page=2&search_pos=-4350000&s_type=search_all&s_keyword=s7,2016-02-22 0:06,s7 출시도 안했는데 1승 챙겨감ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,87,2017-04-03 22:35:17.277000
/board/view/?id=smartphone&no=4401101&page=2&search_pos=-4350000&s_type=search_all&s_keyword=s7,2016-02-22 0:03,galaxy s7 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,61,2017-04-03 22:35:18.096000
/board/view/?id=smartphone&no=4401072&page=2&search_pos=-4350000&s_type=search_all&s_keyword=s7,2016-02-21 23:45,갓G5님이 일단 S7 ㄹㅇ 바르는거 ㅇㅈ?,ㅇ ㅇㅈ,198,2017-04-03 22:35:18.776000
/board/view/?id=smartphone&no=4401040&page=2&search_pos=-4350000&s_type=search_all&s_keyword=s7,2016-02-21 23:32,갤s7에 포스터치 들어간다는 소문이...,압력감지 디스플레이 ㅇㅇ,78,2017-04-03 22:35:19.344000
/board/view/?id=smartphone&no=4401024&page=2&search_pos=-4350000&s_type=search_all&s_keyword=s7,2016-02-21 23:23,LG VR이 소지하기는 더 좋아진 거 같은데,디스플레이 있으니 따로 충전해야되겠고 해상도가 구린게 흠이네 기어 VR 차기작이나 나왔으면 좋겠는데 S7은 지금 나온거 그대로 쓰는거 같고,60,2017-04-03 22:35:20.080000
/board/view/?id=smartphone&no=4401021&page=2&search_pos=-4350000&s_type=search_all&s_keyword=s7,2016-02-21 23:21,엘지 방수폰인가? ,S7 쓰던애가 물로 스윽 씻는거 보고 g5 쓰는 애가 따라하다가 좆망,41,2017-04-03 22:35:21.003000
/board/view/?id=smartphone&no=4401013&page=2&search_pos=-4350000&s_type=search_all&s_keyword=s7,2016-02-21 23:19,S7는 유출된거로는 뭐 이렇다하게 변하는게 없는거 같네,방수방진이야 원래 빠졌던게 돌아오는거고 SD 카드도 그렇고 USB 3.0도 그렇고 배터리 향상 정도가 전부인가 내부 UI야 S6 마멜이랑 차이 없을듯하고 뭐 3시에 나와봐야 알겠지만,90,2017-04-03 22:35:21.647000
/board/view/?id=smartphone&no=4400986&page=2&search_pos=-4350000&s_type=search_all&s_keyword=s7,2016-02-21 23:01,LG G5 스펙 정리,결합 시스템 업글 아이디어는 진짜 괜춘한듯...LG가 이정도 뽑아냈는데 S7 졸 궁금해지넹..,490,2017-04-03 22:35:22.444000
